pokemonId,type,type2,baseAttack,baseDefense,baseStamina,pokedexHeightM,pokedexWeightKg,candyToEvolve,kmBuddyDistance,thirdMoveStardustToUnlock,thirdMoveCandyToUnlock,shadowPurificationStardustNeeded,shadowPurificationCandyNeeded,quickMoves,cinematicMoves,eliteQuickMove,eliteCinematicMove,megaId,megaAttack,megaDefense,megaStamina,megaHeightM,megaWeightKg,megaType1,megaType2,pokedexNumber,form
TEDDIURSA,NORMAL,,142.0,93.0,155.0,0.61,8.8,50.0,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'LICK_FAST']","['CROSS_CHOP', 'CRUNCH', 'PLAY_ROUGH', 'TRAILBLAZE', 'SWIFT']",,,,,,,,,,,0216,POKEMON_TEDDIURSA
URSARING,NORMAL,,236.0,144.0,207.0,1.8,125.8,,3.0,50000.0,50.0,3000.0,3.0,"['METAL_CLAW_FAST', 'COUNTER_FAST', 'SHADOW_CLAW_FAST']","['CLOSE_COMBAT', 'HYPER_BEAM', 'PLAY_ROUGH', 'TRAILBLAZE', 'SWIFT']",,,,,,,,,,,0217,POKEMON_URSARING
SLUGMA,FIRE,,118.0,71.0,120.0,0.71,35.0,50.0,1.0,10000.0,25.0,,,"['EMBER_FAST', 'ROCK_THROW_FAST']","['FLAME_BURST', 'FLAME_CHARGE', 'ROCK_SLIDE']",,,,,,,,,,,0218,POKEMON_SLUGMA
MAGCARGO,FIRE,ROCK,139.0,191.0,137.0,0.79,55.0,,1.0,10000.0,25.0,,,"['EMBER_FAST', 'ROCK_THROW_FAST', 'INCINERATE_FAST']","['HEAT_WAVE', 'OVERHEAT', 'STONE_EDGE', 'ROCK_TOMB']",,,,,,,,,,,0219,POKEMON_MAGCARGO
SWINUB,ICE,GROUND,90.0,69.0,137.0,0.41,6.5,50.0,3.0,50000.0,50.0,3000.0,3.0,"['TACKLE_FAST', 'POWDER_SNOW_FAST']","['ICY_WIND', 'BODY_SLAM', 'ROCK_SLIDE']",,,,,,,,,,,0220,POKEMON_SWINUB
PILOSWINE,ICE,GROUND,181.0,138.0,225.0,1.09,55.8,,3.0,50000.0,50.0,3000.0,3.0,"['ICE_SHARD_FAST', 'POWDER_SNOW_FAST']","['AVALANCHE', 'BULLDOZE', 'STONE_EDGE', 'HIGH_HORSEPOWER']",,,,,,,,,,,0221,POKEMON_PILOSWINE
CORSOLA,WATER,ROCK,118.0,156.0,146.0,0.61,5.0,,3.0,50000.0,50.0,,,"['TACKLE_FAST', 'BUBBLE_FAST']","['ROCK_BLAST', 'POWER_GEM', 'BUBBLE_BEAM']",,,,,,,,,,,0222,POKEMON_CORSOLA
CORSOLA,GHOST,,116.0,182.0,155.0,0.61,0.5,,3.0,50000.0,50.0,,,"['TACKLE_FAST', 'ASTONISH_FAST']","['ROCK_BLAST', 'POWER_GEM', 'NIGHT_SHADE']",,,,,,,,,,,0222,POKEMON_CORSOLA_GALARIAN
REMORAID,WATER,,127.0,69.0,111.0,0.61,12.0,50.0,1.0,10000.0,25.0,,,"['WATER_GUN_FAST', 'MUD_SHOT_FAST']","['AURORA_BEAM', 'WATER_PULSE', 'ROCK_BLAST']",,,,,,,,,,,0223,POKEMON_REMORAID
OCTILLERY,WATER,,197.0,141.0,181.0,0.89,28.5,,1.0,10000.0,25.0,,,"['WATER_GUN_FAST', 'MUD_SHOT_FAST', 'LOCK_ON_FAST']","['GUNK_SHOT', 'WATER_PULSE', 'AURORA_BEAM', 'ACID_SPRAY', 'OCTAZOOKA']",,,,,,,,,,,0224,POKEMON_OCTILLERY
DELIBIRD,ICE,FLYING,128.0,90.0,128.0,0.89,16.0,,5.0,75000.0,75.0,5000.0,5.0,['PRESENT_FAST'],"['ICE_PUNCH', 'ICY_WIND', 'AERIAL_ACE', 'FLY', 'TRIPLE_AXEL']",,,,,,,,,,,0225,POKEMON_DELIBIRD
MANTINE,WATER,FLYING,148.0,226.0,163.0,2.11,220.0,,5.0,75000.0,75.0,,,"['BUBBLE_FAST', 'WING_ATTACK_FAST', 'BULLET_SEED_FAST']","['WATER_PULSE', 'ICE_BEAM', 'AERIAL_ACE', 'BUBBLE_BEAM']",,,,,,,,,,,0226,POKEMON_MANTINE
SKARMORY,STEEL,FLYING,148.0,226.0,163.0,1.7,50.5,,5.0,75000.0,75.0,5000.0,5.0,"['STEEL_WING_FAST', 'AIR_SLASH_FAST']","['BRAVE_BIRD', 'SKY_ATTACK', 'FLASH_CANNON']",,,,,,,,,,,0227,POKEMON_SKARMORY
HOUNDOUR,DARK,FIRE,152.0,83.0,128.0,0.61,10.8,50.0,3.0,50000.0,50.0,3000.0,3.0,"['FEINT_ATTACK_FAST', 'EMBER_FAST']","['CRUNCH', 'FLAMETHROWER', 'DARK_PULSE']",,,,,,,,,,,0228,POKEMON_HOUNDOUR
HOUNDOOM,DARK,FIRE,224.0,144.0,181.0,1.4,35.0,,3.0,50000.0,50.0,3000.0,3.0,"['SNARL_FAST', 'FIRE_FANG_FAST']","['CRUNCH', 'FIRE_BLAST', 'FOUL_PLAY', 'FLAMETHROWER']",,,MEGA,289.0,194.0,181.0,1.9,49.5,DARK,FIRE,0229,POKEMON_HOUNDOOM
KINGDRA,WATER,DRAGON,194.0,194.0,181.0,1.8,152.0,,3.0,50000.0,50.0,3000.0,3.0,"['WATERFALL_FAST', 'DRAGON_BREATH_FAST']","['HYDRO_PUMP', 'BLIZZARD', 'OUTRAGE', 'OCTAZOOKA']",['WATER_GUN_FAST'],,,,,,,,,,0230,POKEMON_KINGDRA
PHANPY,GROUND,,107.0,98.0,207.0,0.51,33.5,50.0,3.0,50000.0,50.0,3000.0,3.0,"['TACKLE_FAST', 'ROCK_SMASH_FAST']","['BULLDOZE', 'ROCK_SLIDE', 'BODY_SLAM', 'TRAILBLAZE']",,,,,,,,,,,0231,POKEMON_PHANPY
DONPHAN,GROUND,,214.0,185.0,207.0,1.09,120.0,,3.0,50000.0,50.0,3000.0,3.0,"['TACKLE_FAST', 'COUNTER_FAST', 'MUD_SLAP_FAST', 'CHARM_FAST']","['EARTHQUAKE', 'HEAVY_SLAM', 'PLAY_ROUGH', 'BODY_SLAM', 'TRAILBLAZE']",,,,,,,,,,,0232,POKEMON_DONPHAN
PORYGON2,NORMAL,,198.0,180.0,198.0,0.61,32.5,,3.0,50000.0,50.0,3000.0,3.0,"['HIDDEN_POWER_FAST', 'CHARGE_BEAM_FAST', 'LOCK_ON_FAST']","['SOLAR_BEAM', 'HYPER_BEAM', 'ZAP_CANNON', 'TRI_ATTACK']",,,,,,,,,,,0233,POKEMON_PORYGON2
STANTLER,NORMAL,,192.0,131.0,177.0,1.4,71.2,,3.0,50000.0,50.0,3000.0,3.0,"['TACKLE_FAST', 'ZEN_HEADBUTT_FAST']","['STOMP', 'WILD_CHARGE', 'MEGAHORN']",,,,,,,,,,,0234,POKEMON_STANTLER
SMEARGLE,NORMAL,,40.0,83.0,146.0,1.19,58.0,,3.0,,9999999.0,,,,,,,,,,,,,,,0235,POKEMON_SMEARGLE
TYROGUE,FIGHTING,,64.0,64.0,111.0,0.71,21.0,25.0,5.0,10000.0,25.0,,,"['ROCK_SMASH_FAST', 'TACKLE_FAST']","['BRICK_BREAK', 'ROCK_SLIDE', 'LOW_SWEEP']",,,,,,,,,,,0236,POKEMON_TYROGUE
HITMONTOP,FIGHTING,,173.0,207.0,137.0,1.4,48.0,,5.0,75000.0,75.0,5000.0,5.0,"['ROCK_SMASH_FAST', 'COUNTER_FAST']","['CLOSE_COMBAT', 'GYRO_BALL', 'STONE_EDGE', 'TRIPLE_AXEL']",,,,,,,,,,,0237,POKEMON_HITMONTOP
SMOOCHUM,ICE,PSYCHIC,153.0,91.0,128.0,0.41,6.0,25.0,5.0,10000.0,25.0,,,"['POWDER_SNOW_FAST', 'POUND_FAST']","['ICE_BEAM', 'ICE_PUNCH', 'PSYSHOCK']",['FROST_BREATH_FAST'],,,,,,,,,,0238,POKEMON_SMOOCHUM
ELEKID,ELECTRIC,,135.0,101.0,128.0,0.61,23.5,25.0,5.0,10000.0,25.0,,,"['THUNDER_SHOCK_FAST', 'LOW_KICK_FAST']","['THUNDER_PUNCH', 'BRICK_BREAK', 'DISCHARGE']",,['THUNDERBOLT'],,,,,,,,,0239,POKEMON_ELEKID
MAGBY,FIRE,,151.0,99.0,128.0,0.71,21.4,25.0,5.0,10000.0,25.0,,,"['EMBER_FAST', 'KARATE_CHOP_FAST']","['BRICK_BREAK', 'FIRE_PUNCH', 'FLAME_BURST']",,['FLAMETHROWER'],,,,,,,,,0240,POKEMON_MAGBY
MILTANK,NORMAL,,157.0,193.0,216.0,1.19,75.5,,5.0,75000.0,75.0,,,"['TACKLE_FAST', 'ZEN_HEADBUTT_FAST', 'ROLLOUT_FAST']","['STOMP', 'BODY_SLAM', 'GYRO_BALL', 'THUNDERBOLT', 'ICE_BEAM']",,,,,,,,,,,0241,POKEMON_MILTANK
BLISSEY,NORMAL,,129.0,169.0,496.0,1.5,46.8,,5.0,75000.0,75.0,,,"['POUND_FAST', 'ZEN_HEADBUTT_FAST']","['PSYCHIC', 'HYPER_BEAM', 'DAZZLING_GLEAM']",,['WILD_CHARGE'],,,,,,,,,0242,POKEMON_BLISSEY
RAIKOU,ELECTRIC,,241.0,195.0,207.0,1.91,178.0,,20.0,100000.0,100.0,20000.0,20.0,"['THUNDER_SHOCK_FAST', 'VOLT_SWITCH_FAST']","['THUNDER', 'THUNDERBOLT', 'WILD_CHARGE', 'SHADOW_BALL']",,,,,,,,,,,0243,POKEMON_RAIKOU
ENTEI,FIRE,,235.0,171.0,251.0,2.11,198.0,,20.0,100000.0,100.0,20000.0,20.0,"['FIRE_SPIN_FAST', 'FIRE_FANG_FAST']","['FLAMETHROWER', 'FIRE_BLAST', 'OVERHEAT', 'IRON_HEAD', 'FLAME_CHARGE', 'SCORCHING_SANDS']",,,,,,,,,,,0244,POKEMON_ENTEI
SUICUNE,WATER,,180.0,235.0,225.0,2.01,187.0,,20.0,100000.0,100.0,20000.0,20.0,"['EXTRASENSORY_FAST', 'SNARL_FAST', 'ICE_FANG_FAST']","['HYDRO_PUMP', 'BUBBLE_BEAM', 'WATER_PULSE', 'ICE_BEAM', 'SCALD']",['HIDDEN_POWER_FAST'],,,,,,,,,,0245,POKEMON_SUICUNE
LARVITAR,ROCK,GROUND,115.0,93.0,137.0,0.61,72.0,25.0,5.0,75000.0,75.0,5000.0,5.0,"['BITE_FAST', 'ROCK_SMASH_FAST']","['STOMP', 'CRUNCH', 'ANCIENT_POWER']",,,,,,,,,,,0246,POKEMON_LARVITAR
PUPITAR,ROCK,GROUND,155.0,133.0,172.0,1.19,152.0,100.0,5.0,75000.0,75.0,5000.0,5.0,"['BITE_FAST', 'ROCK_SMASH_FAST']","['DIG', 'CRUNCH', 'ANCIENT_POWER']",,,,,,,,,,,0247,POKEMON_PUPITAR
TYRANITAR,ROCK,DARK,251.0,207.0,225.0,2.01,202.0,,5.0,75000.0,75.0,5000.0,5.0,"['BITE_FAST', 'IRON_TAIL_FAST']","['FIRE_BLAST', 'CRUNCH', 'STONE_EDGE', 'BRUTAL_SWING']",['SMACK_DOWN_FAST'],,MEGA,309.0,276.0,225.0,2.5,255.0,ROCK,DARK,0248,POKEMON_TYRANITAR
LUGIA,PSYCHIC,FLYING,193.0,310.0,235.0,5.21,216.0,,20.0,100000.0,100.0,20000.0,20.0,"['EXTRASENSORY_FAST', 'DRAGON_TAIL_FAST']","['SKY_ATTACK', 'HYDRO_PUMP', 'FUTURESIGHT']",,['AEROBLAST'],,,,,,,,,0249,POKEMON_LUGIA
HO_OH,FIRE,FLYING,239.0,244.0,214.0,3.81,199.0,,20.0,100000.0,100.0,20000.0,20.0,"['EXTRASENSORY_FAST', 'STEEL_WING_FAST', 'HIDDEN_POWER_FAST', 'INCINERATE_FAST']","['BRAVE_BIRD', 'FIRE_BLAST', 'SOLAR_BEAM']",,"['EARTHQUAKE', 'SACRED_FIRE']",,,,,,,,,0250,POKEMON_HO_OH
CELEBI,PSYCHIC,GRASS,210.0,210.0,225.0,0.61,5.0,,20.0,100000.0,100.0,,,"['CONFUSION_FAST', 'CHARGE_BEAM_FAST']","['HYPER_BEAM', 'PSYCHIC', 'DAZZLING_GLEAM', 'SEED_BOMB', 'LEAF_STORM']",['MAGICAL_LEAF_FAST'],,,,,,,,,,0251,POKEMON_CELEBI
TREECKO,GRASS,,124.0,94.0,120.0,0.51,5.0,,3.0,10000.0,25.0,3000.0,3.0,"['POUND_FAST', 'BULLET_SEED_FAST']","['ENERGY_BALL', 'AERIAL_ACE', 'GRASS_KNOT']",,,,,,,,,,,0252,POKEMON_TREECKO
GROVYLE,GRASS,,172.0,120.0,137.0,0.89,21.6,,3.0,10000.0,25.0,3000.0,3.0,"['QUICK_ATTACK_FAST', 'BULLET_SEED_FAST']","['LEAF_BLADE', 'AERIAL_ACE', 'GRASS_KNOT']",,,,,,,,,,,0253,POKEMON_GROVYLE
SCEPTILE,GRASS,,223.0,169.0,172.0,1.7,52.2,,3.0,10000.0,25.0,3000.0,3.0,"['FURY_CUTTER_FAST', 'BULLET_SEED_FAST']","['LEAF_BLADE', 'AERIAL_ACE', 'EARTHQUAKE', 'DRAGON_CLAW', 'BREAKING_SWIPE']",,['FRENZY_PLANT'],MEGA,320.0,186.0,172.0,1.9,55.2,GRASS,DRAGON,0254,POKEMON_SCEPTILE
TORCHIC,FIRE,,130.0,87.0,128.0,0.41,2.5,,3.0,10000.0,25.0,3000.0,3.0,"['SCRATCH_FAST', 'EMBER_FAST']","['FLAME_CHARGE', 'FLAMETHROWER', 'ROCK_TOMB']",,,,,,,,,,,0255,POKEMON_TORCHIC
COMBUSKEN,FIRE,FIGHTING,163.0,115.0,155.0,0.89,19.5,,3.0,10000.0,25.0,3000.0,3.0,"['PECK_FAST', 'EMBER_FAST']","['FLAME_CHARGE', 'FLAMETHROWER', 'ROCK_SLIDE']",,,,,,,,,,,0256,POKEMON_COMBUSKEN
BLAZIKEN,FIRE,FIGHTING,240.0,141.0,190.0,1.91,52.0,,3.0,10000.0,25.0,3000.0,3.0,"['COUNTER_FAST', 'FIRE_SPIN_FAST']","['FOCUS_BLAST', 'OVERHEAT', 'BRAVE_BIRD', 'BLAZE_KICK']",,"['BLAST_BURN', 'STONE_EDGE']",MEGA,329.0,168.0,190.0,1.9,52.0,FIRE,FIGHTING,0257,POKEMON_BLAZIKEN
MUDKIP,WATER,,126.0,93.0,137.0,0.41,7.6,,3.0,10000.0,25.0,3000.0,3.0,"['TACKLE_FAST', 'WATER_GUN_FAST']","['DIG', 'SLUDGE', 'STOMP']",,,,,,,,,,,0258,POKEMON_MUDKIP
MARSHTOMP,WATER,GROUND,156.0,133.0,172.0,0.71,28.0,,3.0,10000.0,25.0,3000.0,3.0,"['MUD_SHOT_FAST', 'WATER_GUN_FAST']","['MUD_BOMB', 'SLUDGE', 'SURF']",,,,,,,,,,,0259,POKEMON_MARSHTOMP
SWAMPERT,WATER,GROUND,208.0,175.0,225.0,1.5,81.9,,3.0,10000.0,25.0,3000.0,3.0,"['MUD_SHOT_FAST', 'WATER_GUN_FAST']","['EARTHQUAKE', 'SLUDGE_WAVE', 'SURF', 'MUDDY_WATER']",,['HYDRO_CANNON'],MEGA,283.0,218.0,225.0,1.9,102.0,WATER,GROUND,0260,POKEMON_SWAMPERT
POOCHYENA,DARK,,96.0,61.0,111.0,0.51,13.6,,1.0,10000.0,25.0,1000.0,1.0,"['TACKLE_FAST', 'SNARL_FAST']","['CRUNCH', 'DIG', 'POISON_FANG']",,,,,,,,,,,0261,POKEMON_POOCHYENA
MIGHTYENA,DARK,,171.0,132.0,172.0,0.99,37.0,,1.0,10000.0,25.0,1000.0,1.0,"['BITE_FAST', 'FIRE_FANG_FAST', 'THUNDER_FANG_FAST', 'ICE_FANG_FAST']","['CRUNCH', 'PLAY_ROUGH', 'POISON_FANG']",,,,,,,,,,,0262,POKEMON_MIGHTYENA
ZIGZAGOON,NORMAL,,58.0,80.0,116.0,0.4,17.5,,1.0,10000.0,25.0,3000.0,3.0,"['TACKLE_FAST', 'ROCK_SMASH_FAST', 'SAND_ATTACK_FAST']","['DIG', 'GRASS_KNOT', 'THUNDERBOLT']",,,,,,,,,,,0263,POKEMON_ZIGZAGOON
ZIGZAGOON,DARK,NORMAL,58.0,80.0,116.0,0.4,17.5,,1.0,10000.0,25.0,3000.0,3.0,"['TACKLE_FAST', 'TAKE_DOWN_FAST']","['DIG', 'BODY_SLAM', 'SWIFT']",,,,,,,,,,,0263,POKEMON_ZIGZAGOON_GALARIAN
LINOONE,NORMAL,,142.0,128.0,186.0,0.5,32.5,,1.0,10000.0,25.0,3000.0,3.0,"['SHADOW_CLAW_FAST', 'TACKLE_FAST', 'SAND_ATTACK_FAST']","['DIG', 'GRASS_KNOT', 'THUNDER']",,,,,,,,,,,0264,POKEMON_LINOONE
LINOONE,DARK,NORMAL,142.0,128.0,186.0,0.5,32.5,,1.0,10000.0,25.0,3000.0,3.0,"['SNARL_FAST', 'LICK_FAST']","['DIG', 'BODY_SLAM', 'GUNK_SHOT']",,,,,,,,,,,0264,POKEMON_LINOONE_GALARIAN
WURMPLE,BUG,,75.0,59.0,128.0,0.3,3.6,,1.0,10000.0,25.0,,,"['TACKLE_FAST', 'BUG_BITE_FAST']",['STRUGGLE'],,,,,,,,,,,0265,POKEMON_WURMPLE
SILCOON,BUG,,60.0,77.0,137.0,0.61,10.0,,1.0,10000.0,25.0,,,"['POISON_STING_FAST', 'BUG_BITE_FAST']",['STRUGGLE'],,,,,,,,,,,0266,POKEMON_SILCOON
BEAUTIFLY,BUG,FLYING,189.0,98.0,155.0,0.99,28.4,,1.0,10000.0,25.0,,,"['STRUGGLE_BUG_FAST', 'INFESTATION_FAST']","['SILVER_WIND', 'AIR_CUTTER', 'BUG_BUZZ']",,,,,,,,,,,0267,POKEMON_BEAUTIFLY
CASCOON,BUG,,60.0,77.0,137.0,0.71,11.5,,1.0,10000.0,25.0,,,"['POISON_STING_FAST', 'BUG_BITE_FAST']",['STRUGGLE'],,,,,,,,,,,0268,POKEMON_CASCOON
DUSTOX,BUG,POISON,98.0,162.0,155.0,1.19,31.6,,1.0,10000.0,25.0,,,"['STRUGGLE_BUG_FAST', 'CONFUSION_FAST']","['SILVER_WIND', 'SLUDGE_BOMB', 'BUG_BUZZ']",,,,,,,,,,,0269,POKEMON_DUSTOX
LOTAD,WATER,GRASS,71.0,77.0,120.0,0.51,2.6,,3.0,50000.0,50.0,,,"['WATER_GUN_FAST', 'RAZOR_LEAF_FAST']","['BUBBLE_BEAM', 'ENERGY_BALL', 'SCALD']",,,,,,,,,,,0270,POKEMON_LOTAD
LOMBRE,WATER,GRASS,112.0,119.0,155.0,1.19,32.5,,3.0,50000.0,50.0,,,"['BUBBLE_FAST', 'RAZOR_LEAF_FAST']","['BUBBLE_BEAM', 'ICE_BEAM', 'GRASS_KNOT', 'SCALD']",,,,,,,,,,,0271,POKEMON_LOMBRE
LUDICOLO,WATER,GRASS,173.0,176.0,190.0,1.5,55.0,,3.0,50000.0,50.0,,,"['BUBBLE_FAST', 'RAZOR_LEAF_FAST']","['HYDRO_PUMP', 'BLIZZARD', 'SOLAR_BEAM', 'ICE_BEAM', 'ENERGY_BALL', 'LEAF_STORM', 'SCALD']",,,,,,,,,,,0272,POKEMON_LUDICOLO
SEEDOT,GRASS,,71.0,77.0,120.0,0.51,4.0,,3.0,50000.0,50.0,3000.0,3.0,"['BULLET_SEED_FAST', 'QUICK_ATTACK_FAST']","['ENERGY_BALL', 'GRASS_KNOT', 'FOUL_PLAY']",,,,,,,,,,,0273,POKEMON_SEEDOT
NUZLEAF,GRASS,DARK,134.0,78.0,172.0,0.99,28.0,,3.0,50000.0,50.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'FEINT_ATTACK_FAST']","['LEAF_BLADE', 'GRASS_KNOT', 'FOUL_PLAY']",,,,,,,,,,,0274,POKEMON_NUZLEAF
SHIFTRY,GRASS,DARK,200.0,121.0,207.0,1.3,59.6,,3.0,50000.0,50.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'FEINT_ATTACK_FAST', 'SNARL_FAST']","['LEAF_BLADE', 'HURRICANE', 'FOUL_PLAY', 'LEAF_TORNADO']",['BULLET_SEED_FAST'],,,,,,,,,,0275,POKEMON_SHIFTRY
TAILLOW,NORMAL,FLYING,106.0,61.0,120.0,0.3,2.3,,1.0,10000.0,25.0,,,"['PECK_FAST', 'QUICK_ATTACK_FAST']",['AERIAL_ACE'],,,,,,,,,,,0276,POKEMON_TAILLOW
SWELLOW,NORMAL,FLYING,185.0,124.0,155.0,0.71,19.8,,1.0,10000.0,25.0,,,"['WING_ATTACK_FAST', 'STEEL_WING_FAST']","['AERIAL_ACE', 'BRAVE_BIRD', 'SKY_ATTACK']",,,,,,,,,,,0277,POKEMON_SWELLOW
WINGULL,WATER,FLYING,106.0,61.0,120.0,0.61,9.5,,3.0,50000.0,50.0,,,"['WATER_GUN_FAST', 'QUICK_ATTACK_FAST']","['WATER_PULSE', 'AIR_CUTTER', 'ICE_BEAM']",,,,,,,,,,,0278,POKEMON_WINGULL
PELIPPER,WATER,FLYING,175.0,174.0,155.0,1.19,28.0,,3.0,50000.0,50.0,,,"['WATER_GUN_FAST', 'WING_ATTACK_FAST']","['HYDRO_PUMP', 'HURRICANE', 'BLIZZARD', 'WEATHER_BALL_WATER']",,,,,,,,,,,0279,POKEMON_PELIPPER
RALTS,PSYCHIC,FAIRY,79.0,59.0,99.0,0.41,6.6,,5.0,75000.0,75.0,5000.0,5.0,"['CONFUSION_FAST', 'CHARGE_BEAM_FAST']","['PSYSHOCK', 'DISARMING_VOICE', 'SHADOW_SNEAK']",,,,,,,,,,,0280,POKEMON_RALTS
KIRLIA,PSYCHIC,FAIRY,117.0,90.0,116.0,0.79,20.2,,5.0,75000.0,75.0,5000.0,5.0,"['CONFUSION_FAST', 'CHARGE_BEAM_FAST', 'MAGICAL_LEAF_FAST']","['PSYCHIC', 'DISARMING_VOICE', 'SHADOW_SNEAK', 'TRIPLE_AXEL', 'DRAINING_KISS']",,,,,,,,,,,0281,POKEMON_KIRLIA
GARDEVOIR,PSYCHIC,FAIRY,237.0,195.0,169.0,1.6,48.4,,5.0,75000.0,75.0,5000.0,5.0,"['CONFUSION_FAST', 'CHARGE_BEAM_FAST', 'CHARM_FAST', 'MAGICAL_LEAF_FAST']","['PSYCHIC', 'DAZZLING_GLEAM', 'SHADOW_BALL', 'TRIPLE_AXEL']",,['SYNCHRONOISE'],MEGA,326.0,229.0,169.0,1.6,48.4,PSYCHIC,FAIRY,0282,POKEMON_GARDEVOIR
SURSKIT,BUG,WATER,93.0,87.0,120.0,0.51,1.7,,1.0,10000.0,25.0,,,"['BUBBLE_FAST', 'BUG_BITE_FAST']","['AQUA_JET', 'BUBBLE_BEAM', 'SIGNAL_BEAM']",,,,,,,,,,,0283,POKEMON_SURSKIT
MASQUERAIN,BUG,FLYING,192.0,150.0,172.0,0.79,3.6,,1.0,10000.0,25.0,,,"['INFESTATION_FAST', 'AIR_SLASH_FAST']","['AIR_CUTTER', 'OMINOUS_WIND', 'SILVER_WIND', 'BUBBLE_BEAM', 'LUNGE']",,,,,,,,,,,0284,POKEMON_MASQUERAIN
SHROOMISH,GRASS,,74.0,110.0,155.0,0.41,4.5,,3.0,50000.0,50.0,,,"['TACKLE_FAST', 'BULLET_SEED_FAST']","['SEED_BOMB', 'GRASS_KNOT', 'ENERGY_BALL']",,,,,,,,,,,0285,POKEMON_SHROOMISH
BRELOOM,GRASS,FIGHTING,241.0,144.0,155.0,1.19,39.2,,3.0,50000.0,50.0,,,"['COUNTER_FAST', 'BULLET_SEED_FAST', 'FORCE_PALM_FAST']","['DYNAMIC_PUNCH', 'SEED_BOMB', 'SLUDGE_BOMB']",,['GRASS_KNOT'],,,,,,,,,0286,POKEMON_BRELOOM
SLAKOTH,NORMAL,,104.0,92.0,155.0,0.79,24.0,,5.0,75000.0,75.0,,,['YAWN_FAST'],"['BODY_SLAM', 'NIGHT_SLASH', 'BRICK_BREAK']",,,,,,,,,,,0287,POKEMON_SLAKOTH
VIGOROTH,NORMAL,,159.0,145.0,190.0,1.4,46.5,,5.0,75000.0,75.0,,,"['SCRATCH_FAST', 'COUNTER_FAST']","['BODY_SLAM', 'BULLDOZE', 'BRICK_BREAK', 'ROCK_SLIDE']",,,,,,,,,,,0288,POKEMON_VIGOROTH
SLAKING,NORMAL,,290.0,166.0,284.0,2.01,130.5,,5.0,75000.0,75.0,,,['YAWN_FAST'],"['HYPER_BEAM', 'PLAY_ROUGH', 'EARTHQUAKE']",,['BODY_SLAM'],,,,,,,,,0289,POKEMON_SLAKING
NINCADA,BUG,GROUND,80.0,126.0,104.0,0.51,5.5,,5.0,75000.0,75.0,,,"['SCRATCH_FAST', 'BUG_BITE_FAST']","['NIGHT_SLASH', 'BUG_BUZZ', 'AERIAL_ACE']",,,,,,,,,,,0290,POKEMON_NINCADA
NINJASK,BUG,FLYING,199.0,112.0,156.0,0.79,12.0,,5.0,75000.0,75.0,,,"['FURY_CUTTER_FAST', 'METAL_CLAW_FAST']","['SHADOW_BALL', 'BUG_BUZZ', 'AERIAL_ACE']",,,,,,,,,,,0291,POKEMON_NINJASK
SHEDINJA,BUG,GHOST,153.0,73.0,1.0,0.79,1.2,,5.0,75000.0,75.0,,,"['BUG_BITE_FAST', 'SHADOW_CLAW_FAST']","['SHADOW_SNEAK', 'AERIAL_ACE', 'DIG']",['STRUGGLE_BUG_FAST'],,,,,,,,,,0292,POKEMON_SHEDINJA
WHISMUR,NORMAL,,92.0,42.0,162.0,0.61,16.3,,1.0,10000.0,25.0,1000.0,1.0,"['POUND_FAST', 'ASTONISH_FAST']","['STOMP', 'DISARMING_VOICE', 'FLAMETHROWER']",,,,,,,,,,,0293,POKEMON_WHISMUR
LOUDRED,NORMAL,,134.0,81.0,197.0,0.99,40.5,,1.0,10000.0,25.0,1000.0,1.0,"['BITE_FAST', 'ROCK_SMASH_FAST']","['STOMP', 'DISARMING_VOICE', 'FLAMETHROWER']",,,,,,,,,,,0294,POKEMON_LOUDRED
EXPLOUD,NORMAL,,179.0,137.0,232.0,1.5,84.0,,1.0,10000.0,25.0,1000.0,1.0,"['BITE_FAST', 'ASTONISH_FAST']","['CRUNCH', 'DISARMING_VOICE', 'FIRE_BLAST', 'BOOMBURST']",,,,,,,,,,,0295,POKEMON_EXPLOUD
MAKUHITA,FIGHTING,,99.0,54.0,176.0,0.99,86.4,,3.0,50000.0,50.0,3000.0,3.0,"['ROCK_SMASH_FAST', 'TACKLE_FAST']","['HEAVY_SLAM', 'LOW_SWEEP', 'CROSS_CHOP']",,,,,,,,,,,0296,POKEMON_MAKUHITA
HARIYAMA,FIGHTING,,209.0,114.0,302.0,2.31,253.8,,3.0,50000.0,50.0,3000.0,3.0,"['COUNTER_FAST', 'BULLET_PUNCH_FAST', 'FORCE_PALM_FAST']","['HEAVY_SLAM', 'CLOSE_COMBAT', 'DYNAMIC_PUNCH', 'SUPER_POWER']",,,,,,,,,,,0297,POKEMON_HARIYAMA
AZURILL,NORMAL,FAIRY,36.0,71.0,137.0,0.2,2.0,,3.0,10000.0,25.0,,,"['SPLASH_FAST', 'BUBBLE_FAST']","['BUBBLE_BEAM', 'ICE_BEAM', 'BODY_SLAM']",,,,,,,,,,,0298,POKEMON_AZURILL
NOSEPASS,ROCK,,82.0,215.0,102.0,0.99,97.0,,3.0,50000.0,50.0,3000.0,3.0,"['ROCK_THROW_FAST', 'SPARK_FAST']","['ROCK_BLAST', 'ROCK_SLIDE', 'THUNDERBOLT']",,,,,,,,,,,0299,POKEMON_NOSEPASS
